Annee;Num_Acc;Mois;Lieu;catr;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
2020;2,02E+11;Janvier ;Paris;4;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
2020;2,02E+11;Mars ;Paris;4;0;N/A;2;2;0;1;0;100;3;;-1;1;0;1;50
2020;2,02E+11;Mai ;Paris;4;0;N/A;-1;2;0;1;0;0;1;;-1;1;0;1;50
2020;2,02E+11;Juillet;Paris;4;0;N/A;2;2;0;1;1;0;1;;-1;1;0;1;30
2020;2,02E+11;Septembre;Paris;3;0;N/A;1;1;0;1;4;674;2;;-1;1;3;8;50
2020;2,02E+11;Novembre;Paris;3;0;N/A;2;3;0;1;66;170;1;;-1;2;0;1;80
2020;2,02E+11;Fevrier ;Paris;3;0;N/A;2;6;0;1;3;600;1;;-1;1;0;1;50
2020;2,02E+11;Avril;Paris;4;0;N/A;2;4;0;1;-1;-1;1;;-1;2;5;1;50
2020;2,02E+11;Juin;Paris;3;0;N/A;2;2;0;1;6;0;1;;-1;1;5;1;50
2020;2,02E+11;Aout;Paris;3;0;N/A;2;2;0;1;134;400;1;;5;1;0;1;80
2020;2,02E+11;Octobre;Paris;7;0;N/A;2;3;0;1;-1;-1;3;;-1;1;0;1;50
2020;2,02E+11;Decembre;Paris;4;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
2020;2,02E+11;Janvier ;Paris;4;0;N/A;3;2;0;1;0;0;1;;-1;1;0;1;50
2020;2,02E+11;Mars ;Paris;4;0;N/A;2;2;1;1;-1;-1;3;;-1;1;0;1;50
2020;2,02E+11;Mai ;Paris;3;0;N/A;2;2;0;2;0;0;3;;-1;2;0;4;50
2020;2,02E+11;Juillet;Paris;4;0;N/A;2;2;0;1;0;0;1;;-1;1;5;1;50
2020;2,02E+11;Septembre;Paris;4;0;N/A;3;2;2;1;-1;-1;1;;-1;1;0;5;50
2020;2,02E+11;Novembre;Paris;4;0;N/A;2;4;0;1;0;0;1;;-1;2;5;1;50
2020;2,02E+11;Fevrier ;Paris;3;0;N/A;2;2;0;2;21;203;3;;5;2;0;3;80
2020;2,02E+11;Avril;Paris;4;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
2020;2,02E+11;Juin;Paris;4;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
2020;2,02E+11;Aout;Paris;4;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
2020;2,02E+11;Octobre;Paris;4;0;N/A;2;4;0;2;0;0;1;;-1;1;2;1;50
2020;2,02E+11;Decembre;Paris;4;0;N/A;1;2;0;4;0;0;1;;-1;1;0;1;50
2020;2,02E+11;Janvier ;Paris;4;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
2020;2,02E+11;Mars ;Paris;4;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
2020;2,02E+11;Mai ;Paris;4;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
2020;2,02E+11;Juillet;Paris;4;0;N/A;1;2;3;1;0;0;1;;-1;1;0;1;50
2020;2,02E+11;Septembre;Paris;4;0;N/A;1;1;0;2;0;0;1;;-1;8;0;1;30
2020;2,02E+11;Novembre;Paris;4;0;N/A;1;1;0;1;0;0;1;;-1;2;0;1;50
2020;2,02E+11;Fevrier ;Paris;4;0;N/A;3;4;0;1;0;0;1;;-1;2;0;1;50
2020;2,02E+11;Avril;Paris;4;0;N/A;2;4;1;1;0;0;1;;-1;1;0;5;30
2020;2,02E+11;Juin;Paris;4;0;N/A;2;4;3;1;0;0;1;;-1;1;0;6;50
2020;2,02E+11;Janvier ;Paris;4;0;N/A;1;2;1;1;0;0;1;;-1;1;0;5;30
2020;2,02E+11;Mars ;Paris;4;0;N/A;1;3;3;1;0;0;1;;-1;1;0;6;50
2020;2,02E+11;Mai ;Paris;3;0;N/A;2;2;0;1;0;1;1;;-1;1;0;1;50
2020;2,02E+11;Juillet;Paris;3;0;N/A;1;2;0;1;0;1;1;;-1;1;5;1;50
2020;2,02E+11;Septembre;Paris;3;0;N/A;2;2;0;1;0;1;1;;-1;1;0;1;50
2020;2,02E+11;Novembre;Paris;3;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
2020;2,02E+11;Fevrier ;Paris;4;0;N/A;1;1;0;1;0;0;1;;-1;1;9;1;10
2020;2,02E+11;Avril;Paris;3;0;N/A;3;4;0;1;1;0;1;;-1;1;0;1;50
2020;2,02E+11;Juin;Paris;3;0;N/A;3;4;0;1;0;1;1;;-1;1;0;1;50
2020;2,02E+11;Aout;Paris;3;0;N/A;2;2;0;1;0;1;1;;-1;1;9;8;50
2020;2,02E+11;Octobre;Paris;3;0;N/A;3;5;0;1;1;1;1;;-1;1;0;1;50
2020;2,02E+11;Decembre;Paris;3;0;N/A;3;4;0;2;0;1;1;;-1;1;0;1;50
2020;2,02E+11;Janvier ;Paris;3;0;N/A;3;6;0;1;0;1;1;;-1;1;5;1;50
2020;2,02E+11;Mars ;Paris;3;0;N/A;1;3;3;2;0;0;1;;-1;1;0;6;50
2020;2,02E+11;Mai ;Paris;3;0;D;2;2;0;1;44;272;3;;-1;1;0;1;50
2020;2,02E+11;Juillet;Paris;3;-1;D;-1;2;0;1;-1;-1;1;;-1;1;5;1;30
2020;2,02E+11;Septembre;Paris;3;-1;D;3;4;0;3;-1;-1;1;;-1;1;0;3;110
2020;2,02E+11;Novembre;Paris;4;-1;N/A;2;2;0;2;-1;-1;1;;7;2;0;1;50
2020;2,02E+11;Fevrier ;Paris;3;-1;N/A;2;2;0;2;19;950;3;;-1;1;0;1;80
2020;2,02E+11;Avril;Paris;4;-1;N/A;2;2;0;1;-1;-1;4;;-1;1;0;3;80
2020;2,02E+11;Juin;Paris;4;-1;N/A;2;2;0;1;-1;-1;1;;-1;1;0;3;50
2020;2,02E+11;Aout;Paris;3;2;N/A;2;2;0;1;4;810;1;;-1;1;0;1;50
2020;2,02E+11;Octobre;Paris;3;0;N/A;2;2;0;1;39;551;1;;-1;2;0;3;80
2020;2,02E+11;Decembre;Paris;4;0;N/A;2;2;0;1;-1;-1;1;;4;1;0;3;50
2020;2,02E+11;Janvier ;Paris;3;0;N/A;2;2;0;1;26;50;1;;-1;1;9;3;80
