annee ;Num_Acc;Mois ;Lieu;catr;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
2021;2,02E+11;Août;Paris;3;-1;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;3;0;E;2;2;0;1;0;10;1;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;4;0;1;0;1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;7;-1;N/A;2;2;-1;1;11;150;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;-1;N/A;2;2;0;1;-1;-1;1;;4;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;0;0;1;0;1;1;;-1;1;5;1;50
2021;2,02E+11;Août;Paris;2;0;N/A;2;2;0;1;5;500;1;;-1;1;0;1;40
2021;2,02E+11;Août;Paris;3;0;N/A;2;3;0;1;0;0;1;;-1;2;0;1;50
2021;2,02E+11;Août;Paris;2;0;N/A;1;4;3;1;-1;-1;1;;-1;1;3;6;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;4;0;1;0;0;3;;-1;1;9;1;50
2021;2,02E+11;Août;Paris;3;0;D;2;2;0;1;2;100;2;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;2;0;N/A;3;4;3;1;10;50;1;;-1;1;0;1;110
2021;2,02E+11;Août;Paris;3;0;N/A;2;4;0;4;0;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;3;-1;N/A;2;2;0;1;39;0;1;;-1;1;0;1;90
2021;2,02E+11;Août;Paris;3;-1;N/A;2;2;0;1;24;700;1;;-1;2;0;8;50
2021;2,02E+11;Août;Paris;1;0;N/A;3;4;0;1;259;950;1;;-1;1;0;1;130
2021;2,02E+11;Août;Paris;1;-1;N/A;2;4;-1;1;204;0;1;;-1;1;7;1;90
2021;2,02E+11;Août;Paris;3;-1;N/A;2;2;0;2;20;165;3;;-1;1;0;1;80
2021;2,02E+11;Août;Paris;3;0;N/A;3;5;0;1;56;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;-1;-1;1;;-1;1;5;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;-1;2;0;1;-1;-1;1;;-1;1;1;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;1;0;100;1;;-1;1;0;1;30
2021;2,02E+11;Août;Paris;3;0;N/A;3;2;0;1;-1;-1;1;;-1;1;0;1;40
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;2;4;900;2;;-1;2;0;1;80
2021;2,02E+11;Août;Paris;1;-1;N/A;3;4;0;1;234;500;1;;-1;1;0;1;130
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;2;24;300;1;;-1;1;0;1;90
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;-1;-1;1;;-1;2;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;1;2;0;1;-1;-1;1;;-1;2;0;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;3;0;2;0;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;-1;1;0;1;9;378;1;;-1;1;9;8;10
2021;2,02E+11;Août;Paris;2;0;N/A;1;2;0;1;0;0;1;;-1;2;0;1;70
2021;2,02E+11;Août;Paris;4;0;N/A;1;6;0;1;0;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;1;0;1;0;0;1;;-1;1;0;4;50
2021;2,02E+11;Août;Paris;4;-1;N/A;1;1;-1;1;-1;-1;1;;-1;1;0;8;50
2021;2,02E+11;Août;Paris;3;0;D;2;2;0;2;91;500;3;;-1;2;0;3;80
2021;2,02E+11;Août;Paris;4;-1;N/A;2;2;0;2;-1;-1;1;;-1;1;5;1;50
2021;2,02E+11;Août;Paris;4;-1;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;4;0;N/A;-1;4;0;1;0;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
2021;2,02E+11;Août;Paris;3;-1;N/A;2;2;0;1;5;793;1;;-1;1;0;1;70
2021;2,02E+11;Août;Paris;3;0;N/A;2;2;0;1;28;550;3;;-1;2;0;1;80
2021;2,02E+11;Août;Paris;2;-1;N/A;3;4;0;1;7;190;1;;-1;1;8;1;70
