Annee;Num_Acc;Mois;Lieu;catr;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
2019;2,02E+11;Aout;Paris;1;0;;3;10;0;1;6;900;2;;;1;2;1;70
2019;2,02E+11;Aout;Paris;4;0;;2;7;2;1;-1;-1;1;;;1;5;1;50
2019;2,02E+11;Aout;Paris;4;0;;1;2;1;1;-1;-1;1;;;2;0;1;50
2019;2,02E+11;Aout;Paris;4;0;;2;4;0;1;0;0;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;4;0;;2;4;2;1;-1;-1;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;4;0;;3;8;-1;1;-1;-1;1;;;2;0;8;50
2019;2,02E+11;Aout;Paris;4;0;;3;10;-1;2;-1;-1;3;;;2;0;1;70
2019;2,02E+11;Aout;Paris;4;0;;2;2;0;1;-1;-1;1;;;2;0;1;50
2019;2,02E+11;Aout;Paris;4;0;;3;6;0;1;0;0;1;;;2;0;1;50
2019;2,02E+11;Aout;Paris;3;0;;2;2;0;1;0;0;1;;;2;0;1;50
2019;2,02E+11;Aout;Paris;4;0;;2;2;0;1;0;0;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;2;0;;1;2;0;2;53;500;3;;;2;9;1;110
2019;2,02E+11;Aout;Paris;4;0;;2;2;0;2;0;0;1;;;2;0;1;30
2019;2,02E+11;Aout;Paris;4;0;;2;2;0;3;0;0;1;;;2;0;1;50
2019;2,02E+11;Aout;Paris;4;0;;-1;1;0;1;1;0;2;;;1;0;1;50
2019;2,02E+11;Aout;Paris;4;0;;2;2;0;1;0;0;1;;;2;0;1;50
2019;2,02E+11;Aout;Paris;5;0;;2;2;0;1;0;0;1;;;2;0;1;50
2019;2,02E+11;Aout;Paris;4;0;;2;0;0;1;0;0;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;4;0;;-1;2;0;2;1;0;2;;;2;0;1;30
2019;2,02E+11;Aout;Paris;4;0;;2;2;0;1;1234;0;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;3;0;;2;0;0;1;1;0;1;;;2;0;1;80
2019;2,02E+11;Aout;Paris;4;0;;2;6;3;1;0;0;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;4;0;;2;2;0;1;0;0;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;6;0;;2;2;0;1;0;0;1;;;1;0;1;30
2019;2,02E+11;Aout;Paris;3;;;2;2;0;1;6;280;2;;;2;0;3;80
2019;2,02E+11;Aout;Paris;3;;;2;2;0;1;25;500;1;;;1;0;3;80
2019;2,02E+11;Aout;Paris;3;0;B;2;2;0;1;0;269;1;;;1;0;1;80
2019;2,02E+11;Aout;Paris;4;0;;2;2;0;1;-1;-1;1;;;1;0;1;80
2019;2,02E+11;Aout;Paris;3;0;;2;1;0;1;13;420;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;3;0;;2;2;0;2;19;500;3;;;1;0;1;50
2019;2,02E+11;Aout;Paris;4;;;1;1;0;1;-1;-1;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;3;;;2;2;0;1;6;-1;3;;;1;0;3;80
2019;2,02E+11;Aout;Paris;3;0;D;2;2;0;1;4;200;2;;;1;0;3;80
2019;2,02E+11;Aout;Paris;3;0;;2;2;0;1;15;500;1;;;2;0;1;80
2019;2,02E+11;Aout;Paris;3;;;2;2;0;1;-1;-1;3;;;1;0;3;80
2019;2,02E+11;Aout;Paris;2;0;;3;2;0;1;1;299;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;1;0;;1;8;0;1;49;0;1;;;1;0;1;70
2019;2,02E+11;Aout;Paris;2;0;;1;3;0;2;18;600;1;;;1;0;1;90
2019;2,02E+11;Aout;Paris;1;0;;1;2;0;1;7;300;1;;;1;0;1;90
2019;2,02E+11;Aout;Paris;1;0;;1;1;0;2;11;949;2;;;1;0;1;50
2019;2,02E+11;Aout;Paris;1;0;;3;8;0;1;13;199;1;;;1;0;1;110
2019;2,02E+11;Aout;Paris;1;0;;3;10;0;1;15;500;1;;;1;2;1;90
2019;2,02E+11;Aout;Paris;1;0;;3;6;0;1;9;0;1;;;1;0;1;110
2019;2,02E+11;Aout;Paris;1;0;;3;9;0;1;20;399;1;;;1;1;1;90
2019;2,02E+11;Aout;Paris;1;0;INT;3;3;0;1;41;799;1;;;1;0;1;90
2019;2,02E+11;Aout;Paris;4;0;;2;2;0;1;1;0;2;;;1;0;1;50
2019;2,02E+11;Aout;Paris;4;0;;2;2;0;1;0;0;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;7;0;;2;4;0;1;-1;-1;1;;;1;9;1;50
2019;2,02E+11;Aout;Paris;4;0;;2;2;0;1;0;0;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;7;0;;2;2;0;1;-1;-1;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;4;0;;2;2;0;1;-1;-1;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;4;0;;2;2;0;1;-1;-1;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;4;0;;3;3;1;1;0;0;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;4;0;;1;1;0;1;1;0;1;;;1;5;2;50
2019;2,02E+11;Aout;Paris;3;0;;2;2;0;2;0;0;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;4;0;;-1;2;0;1;0;0;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;4;0;;2;0;0;2;0;0;3;;;1;0;1;50
2019;2,02E+11;Aout;Paris;6;0;;-1;1;0;2;0;0;2;;;1;1;1;30
2019;2,02E+11;Aout;Paris;4;0;;-1;2;0;2;0;0;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;4;0;;2;1;0;1;0;0;1;;;1;0;1;50
2019;2,02E+11;Aout;Paris;3;0;;2;2;0;1;2;0;1;;;1;0;1;50
