Annee;Mois;Nombre_accident_par_mois
2018;Janvier;4803
2018;Fevrier;4803
2018;Mars;4759
2018;Avril;4561
2018;Mai;4594
2018;Juin;4745
2018;Juillet;4741
2018;Aout;4726
2018;Septembre;4693
2018;Octobre;4730
2018;Novembre;4672
2018;Decembre;4763
2019;Janvier;5719
2019;Fevrier;2432
2019;Mars;5306
2019;Avril;5884
2019;Mai;5541
2019;Juin;2689
2019;Juillet;5633
2019;Aout;2847
2019;Septembre;5547
2019;Octobre;2942
2019;Novembre;4618
2019;Decembre;2942
2020;Janvier;4341
2020;Fevrier;4118
2020;Mars;20
2020;Avril;20
2020;Mai;20
2020;Juin;20
2020;Juillet;20
2020;Aout;19
2020;Septembre;21
2020;Octobre;21
2020;Novembre;19
2020;Decembre;20
2021;Janvier;20
2021;Fevrier;21
2021;Mars;20
2021;Avril;20
2021;Mai;20
2021;Juin;1250
2021;Juillet;3677
2021;Aout;3447
2021;Septembre;637
2021;Octobre;4333
2021;Novembre;3846
2021;Decembre;4711
